roaster_name,title,price,weight_label,weight_grams,price_per_oz,origin_country,origin_region,producer_or_farm,variety,process,elevation,tasting_notes,watchlist_match,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,product_url
Onyx Coffee Lab,Colombia Altos de Quitumpamba,9.00,2oz,85,3.00,Colombia,"Nariño, Buesaco","Altos de Quitumpamba, Carolina Chalapud Daza and Guillermo Torres Daza",Pink Bourbon,Washed,"2,200 meters",,,,,,,https://onyxcoffeelab.com/products/colombia-altos-de-quitumpamba
Onyx Coffee Lab,Kenya Kamavindi Estate PB,8.00,2oz,85,2.67,Kenya,Embu County,Kamavindi Estate,,,"1,680 meters",,,,,,,https://onyxcoffeelab.com/products/kenya-kamavindi-estate-pb-26
Onyx Coffee Lab,China Lao Xu Zhai Anaerobic,8.00,2oz,85,2.67,China,"Yunnan, Pu’er Prefecture",Lao Xu Zhai,,Anaerobic Natural,,"mango, dark chocolate",,,,,,https://onyxcoffeelab.com/products/china-lao-xu-zhai-anaerobic
Onyx Coffee Lab,Honduras Sagastume Family Natural,8.00,2oz,85,2.67,Honduras,Santa Barbara,Adan and Kilverth Sagastume,Parainema,Natural,,"layered fruit, sweetness, structure",,,,,,https://onyxcoffeelab.com/products/honduras-sagastume-family-natural-26
Onyx Coffee Lab,Panama Elida Estate Aguacate Gesha,30.00,2oz,85,10.01,Panama,Boquete,Elida Estate Aguacate,Geisha,Washed,,,,,,,,https://onyxcoffeelab.com/products/panama-elida-estate-aguacate-gesha
Onyx Coffee Lab,Muse,120.00,5lbs,2313,1.47,,,,,,,,,,,,,https://onyxcoffeelab.com/products/muse
Onyx Coffee Lab,Nepal Sindhupalchowk Paachpokhari Koji,11.00,2oz,85,3.67,Nepal,Sindhupalchowk,Paachpokhari,,Koji Natural,,,,,,,,https://onyxcoffeelab.com/products/nepal-sindhupalchowk-paachpokhari-koji
Onyx Coffee Lab,Panama Esmeralda Porton Gesha,150.00,10oz,312,13.63,Panama,,Hacienda La Esmeralda,Geisha,,,,Peterson Family,CoE Legend,Best of Panama,Swept all 3 major BoP 2025 categories; record 98pts Washed Geisha; 1st place 2004-07;09-10;13;15;17-19;25,Put Geisha on the map 2004; established 1967,https://onyxcoffeelab.com/products/panama-esmeralda-porton-gesha
Onyx Coffee Lab,EU: Colombia Juan Jimenez Pink Bourbon,17.10,113g,142,3.41,Colombia,"Palestina, Huila","Juan Jimenez, El Porvenir",Pink Bourbon,,,"sweet lemon, grapefruit",,,,,,https://onyxcoffeelab.com/products/eu-colombia-juan-jimenez-pink-bourbon
Onyx Coffee Lab,EU: Ethiopia Guji Bookkisa,17.10,113g,142,3.41,Ethiopia,Guji,Sookoo Coffee,,,,floral,,,,,,https://onyxcoffeelab.com/products/eu-ethiopia-guji-bookkisa
Onyx Coffee Lab,Mexico Mazateca Mujeres,26.00,10oz,312,2.36,Mexico,"Sierra Mazateca, Oaxaca",Mazateca Mujeres,,,,,,,,,,https://onyxcoffeelab.com/products/mexico-mazateca-mujeres
Onyx Coffee Lab,Ethiopia Tamiru Tadesse Alo Village,7.00,2oz,85,2.33,Ethiopia,"Sidama, Bensa",Tamiru Tadesse Alo Village,,,,"sweetness, floral",Tamiru Tadesse Tesema,Ethiopia CoE,CoE Ethiopia Winner,1st & 5th place CoE Ethiopia 2021 (anaerobic naturals),Smallholder pioneer anaerobic in Bensa,https://onyxcoffeelab.com/products/ethiopia-tamiru-tadesse-alo-village
Onyx Coffee Lab,USA Cycling,25.00,10oz,312,2.27,,,,,,,,,,,,,https://onyxcoffeelab.com/products/usa-cycling
Onyx Coffee Lab,Panama Mount Totumas Gesha,92.00,10oz,312,8.36,Panama,,Mount Totumas,Geisha,Natural,,,,,,,,https://onyxcoffeelab.com/products/panama-mount-totumas-gesha
Onyx Coffee Lab,Uganda Kamogo Station,100.00,10oz,312,9.09,Uganda,,Kamogo Station,,culture-washed,,,,,,,,https://onyxcoffeelab.com/products/uganda-kamogo-station
Onyx Coffee Lab,Colombia Jairo Arcila Rose Process,87.92,2lbs,953,2.62,Colombia,,Jairo Arcila at Finca Santa Mónica,Pink Bourbon,"72-hour anaerobic fermentation with dried rose petals, honey process",,"floral, sweetness, perfumed, tea-like, rose tea",,,,,,https://onyxcoffeelab.com/products/colombia-jairo-arcila-rose-process
Onyx Coffee Lab,Ethiopia Bensa Bombe Honey,6.00,2oz,85,2.00,Ethiopia,Bensa,Alo Coffee,,Honey,,,Tamiru Tadesse Tesema,Ethiopia CoE,CoE Ethiopia Winner,1st & 5th place CoE Ethiopia 2021 (anaerobic naturals),Smallholder pioneer anaerobic in Bensa,https://onyxcoffeelab.com/products/ethiopia-bensa-bombe-honey
Onyx Coffee Lab,Single-Origin Discovery Box,19.00,2oz,0,,,,,,,,,,,,,,https://onyxcoffeelab.com/products/single-origin-discovery-box
Onyx Coffee Lab,Silhouette,6.00,2oz,85,2.00,,,,,Natural,,"bakers chocolate, viscous black fruits",,,,,,https://onyxcoffeelab.com/products/silhouette
Onyx Coffee Lab,Panama Savage Coffees Gesha,14.00,2oz,85,4.67,Panama,Boquete Valley and Volcan,Savage Coffees,Geisha,Washed,,,Jamison Savage,WBC Elite,WBC Producer,Grand slam 2024 WBC (top 3 all used his coffee); WBC 2016 winner Berg Wu; 10+ national Brewers Cup champions; 2025 US Brewers Cup winner,Pioneer carbonic maceration; 2022 harvest pre-sold; cafe in St. Pete FL,https://onyxcoffeelab.com/products/panama-savage-coffees-gesha
Onyx Coffee Lab,Instant Framily,14.50,6 Packets,283,1.45,,,Chelbesa,,Washed,,"cocoa, berry cobbler",Finca El Diviso,WBC Elite,WBC Producer,2022 WBC winner (Anthony Douglas; Sidra); 2024 champion (Mikael Jasin; Aji variety),Most favored farm by recent WBC finalists,https://onyxcoffeelab.com/products/instant-framily
Onyx Coffee Lab,Instant Mexico Puebla Puhuac,13.00,6 Packets,283,1.30,Mexico,Puebla,,,,,"lime, allspice, plums",,,,,,https://onyxcoffeelab.com/products/instant-mexico-puebla-puhuac
Onyx Coffee Lab,Instant Krampus,13.50,6 Packets,283,1.35,Kenya,,Rungeto Factory,,,,"deep chocolate, burned citrus",,,,,,https://onyxcoffeelab.com/products/instant-krampus
Onyx Coffee Lab,Instant El Salvador Santa Rosa,15.00,6 Packets,283,1.50,El Salvador,Chalatenango,Finca Santa Rosa,,Washed,,"Grape, Rose",,,,,,https://onyxcoffeelab.com/products/instant-el-salvador-santa-rosa
Onyx Coffee Lab,Instant Guatemala El Socorro,13.50,6 Packets,283,1.35,Guatemala,Palencia,El Socorro,Red Bourbon,,,"jasmine, black tea, citrus, melon",Juan Diego De La Cerda,Legend,ACE Legend of Excellence,13x CoE winner; third-generation since 1980,700ha; 400ha preserved forest; hot water fermentation preserves sugars/density,https://onyxcoffeelab.com/products/instant-guatemala-el-socorro
Onyx Coffee Lab,Instant Mexico José Arguello Natural,15.00,6 Packets,283,1.50,Mexico,La Concordia,Finca Santa Cruz,,Natural,,"winey acidity, strawberry",,,,,,https://onyxcoffeelab.com/products/instant-mexico-jose-arguello-natural
Onyx Coffee Lab,Instant Ethiopia Habtamu Fekadu Aga,15.00,6 Packets,283,1.50,Ethiopia,,Habtamu Fekadu Aga,,,,,,,,,,https://onyxcoffeelab.com/products/instant-ethiopia-habtamu-fekadu-aga
Onyx Coffee Lab,Colombia Inmaculada Eugenioides,75.00,10oz,312,6.81,Colombia,,Inmaculada,Eugenioides,,,,Finca El Diviso,WBC Elite,WBC Producer,2022 WBC winner (Anthony Douglas; Sidra); 2024 champion (Mikael Jasin; Aji variety),Most favored farm by recent WBC finalists,https://onyxcoffeelab.com/products/colombia-inmaculada-eugenioides-echelon
Onyx Coffee Lab,Joe & The Juice Espresso,250.00,5lbs Case Pack (4),9072,0.78,,,,,,,,,,,,,https://onyxcoffeelab.com/products/joe-the-juice-espresso
Onyx Coffee Lab,Joe & The Juice Filter,150.00,2lbs Case Pack (5),4536,0.94,,,,,,,,,,,,,https://onyxcoffeelab.com/products/joe-the-juice-filter
Onyx Coffee Lab,Joe & The Juice Filter (Internal),50.00,2lbs,953,1.49,,,,,,,,,,,,,https://onyxcoffeelab.com/products/joe-the-juice-filter-internal
Onyx Coffee Lab,Joe & The Juice Espresso (Internal),50.00,5lbs,2313,0.61,,,,,,,,,,,,,https://onyxcoffeelab.com/products/joe-the-juice-espresso-internal
Onyx Coffee Lab,Monarch,6.00,2oz,85,2.00,,,,,Natural,,"dark chocolate, thick winey berries",,,,,,https://onyxcoffeelab.com/products/monarch
Onyx Coffee Lab,Instant It's All Downhill From Here,12.00,6 Packets,283,1.20,,,,,,,,,,,,,https://onyxcoffeelab.com/products/instant-downhill
Onyx Coffee Lab,It's All Downhill From Here,27.00,10oz,312,2.45,,,,,,,,,,,,,https://onyxcoffeelab.com/products/its-all-downhill
Onyx Coffee Lab,Guatemala El Soccoro Gesha,13.00,2oz,85,4.34,Guatemala,,Juan Diego de la Cerda,Geisha,,,"white flower florals, ripe citrus",Juan Diego De La Cerda,Legend,ACE Legend of Excellence,13x CoE winner; third-generation since 1980,700ha; 400ha preserved forest; hot water fermentation preserves sugars/density,https://onyxcoffeelab.com/products/guatemala-el-soccoro-gesha
Onyx Coffee Lab,Ethiopia Bochesa Anaerobic Natural,8.00,2oz,85,2.67,Ethiopia,Arbegona,Bochesa,,Anaerobic Natural,"2,200 meters above sea level",,,,,,,https://onyxcoffeelab.com/products/ethiopia-bochesa-anaerobic-natural
Onyx Coffee Lab,Discovery Box,37.00,,0,,,,,Heirloom,,,"cocoa, fruit acidity, milk chocolate sweetness, citrus lift, toasted nuts, floral aromatics, layered fruit, tea-like clarity",,,,,,https://onyxcoffeelab.com/products/discovery-box
Onyx Coffee Lab,Catalog Box,70.00,,0,,,,,,,,,,,,,,https://onyxcoffeelab.com/products/somthing-temporary
Onyx Coffee Lab,Blend Discovery Box,18.00,,198,2.58,,,,,,,"fruit, milk chocolate, citrus, toasted nuts, florals, tea-like clarity",,,,,,https://onyxcoffeelab.com/products/blend-discovery-box
Onyx Coffee Lab,RED Box Set,49.00,,0,,,East Africa,,,,,,,,,,,https://onyxcoffeelab.com/products/red-box-set-1
Onyx Coffee Lab,Ethiopia Keramo Anaerobic Natural,8.00,2oz,85,2.67,Ethiopia,Bensa,Keramo,,Anaerobic Natural,,"pink lemonade, fruited finish",Daye Bensa (Dukamo Brothers),Ethiopia Elite,CoE Ethiopia Repeat,6x top-10 CoE Ethiopia 2020-22; 2nd place 2022,Founded 1996; 71 stations; also roast as Buncho/Dukamo Coffee,https://onyxcoffeelab.com/products/ethiopia-keramo-anaerobic-natural
Onyx Coffee Lab,Costa Rica Las Lajas Anaerobic Honey,8.00,2oz,85,2.67,Costa Rica,,Las Lajas,,Anaerobic Honey,,"berries, dark chocolate",,,,,,https://onyxcoffeelab.com/products/costa-rica-las-lajas-anaerobic-natural
Onyx Coffee Lab,Kenya Elshadai Coffee Estate Natural,8.00,2oz,85,2.67,Kenya,Kiambu County,Elshadai Coffee Estate,,Anaerobic Natural,,"layered sweetness, gentle fruit complexity",,,,,,https://onyxcoffeelab.com/products/kenya-elshadai-coffee-estate-natural
Onyx Coffee Lab,Colombia Juan Jimenez Pink Bourbon,8.00,2oz,85,2.67,Colombia,"Palestina, Huila","Juan Jimenez, El Porvenir",Pink Bourbon,,,"sweet lemon, grapefruit",,,,,,https://onyxcoffeelab.com/products/colombia-juan-jimenez-pink-bourbon-252
Onyx Coffee Lab,Framily,8.00,2oz,85,2.67,Ethiopia,,METAD,,,,"cocoa, spiced berry compote, warm cobbler",,,,,,https://onyxcoffeelab.com/products/framily
Onyx Coffee Lab,Krampus,8.00,2oz,85,2.67,Kenya,Kii,Rungeto Factory,,,,"deep chocolate, burned citrus",,,,,,https://onyxcoffeelab.com/products/krampus
Onyx Coffee Lab,Instant Southern Weather,12.00,6 Packets,283,1.20,,,,,,,"citrus, chocolate",,,,,,https://onyxcoffeelab.com/products/instant-southern-weather
Onyx Coffee Lab,Guatemala El Injerto Gesha,75.00,10oz,312,6.81,Guatemala,Huehuetenango,Finca El Injerto,Geisha,Washed,,,Aguirre Family,CoE Legend,CoE Repeat Winner,8x 1st place Guatemala CoE; 13 top-five finishes; most decorated farm in CoE history,Carbon Neutral certified; own PCA through ACE; sells direct,https://onyxcoffeelab.com/products/guatemala-el-injerto-gesha
Onyx Coffee Lab,Guatemala El Socorro Maracaturra,27.00,10oz,312,2.45,Guatemala,,El Socorro,Maracaturra,,,"soft chamomile, mineral-forward raw sugar",Juan Diego De La Cerda,Legend,ACE Legend of Excellence,13x CoE winner; third-generation since 1980,700ha; 400ha preserved forest; hot water fermentation preserves sugars/density,https://onyxcoffeelab.com/products/guatemala-el-socorro-maracaturra-25
Onyx Coffee Lab,Panama Elida Estate Falda Anaerobic,30.00,2oz,85,10.01,Panama,Boquete,Elida Estate,Geisha,Anaerobic,,,,,,,,https://onyxcoffeelab.com/products/panama-elida-estate-falda-anaerobic
Onyx Coffee Lab,Colombia Brayan Alvear Melon Co-Ferment,10.00,2oz,85,3.34,Colombia,,Brayan Alvear,,Melon Co-Ferment,,"melon, candy-forward sweetness",,,,,,https://onyxcoffeelab.com/products/colombia-brayan-alvear-melon-co-ferment
Onyx Coffee Lab,Cold Brew,6.00,2oz,85,2.00,,,,,,,"Cocoa, Dates",,,,,,https://onyxcoffeelab.com/products/cold-brew
Onyx Coffee Lab,Tropical Weather,6.00,2oz,85,2.00,Ethiopia,,,,Washed and Natural,,"floral aroma, berries, plum, sweet tea",Finca El Diviso,WBC Elite,WBC Producer,2022 WBC winner (Anthony Douglas; Sidra); 2024 champion (Mikael Jasin; Aji variety),Most favored farm by recent WBC finalists,https://onyxcoffeelab.com/products/tropical-weather
Onyx Coffee Lab,Project III,150.00,80g,0,,Colombia,Nevado del Tolima,Finca La Negrita,Geisha,"Red Honey, Natural, Semi-Washed",1800 meters,,,,,,,https://onyxcoffeelab.com/products/project-iii
Onyx Coffee Lab,Café Comunión Blend,9.68,10oz,312,0.88,,,,,,,,Aguirre Family,CoE Legend,CoE Repeat Winner,8x 1st place Guatemala CoE; 13 top-five finishes; most decorated farm in CoE history,Carbon Neutral certified; own PCA through ACE; sells direct,https://onyxcoffeelab.com/products/cafe-comunion-blend
Onyx Coffee Lab,Edinburgh,9.22,10oz,312,0.84,,,,,,,,,,,,,https://onyxcoffeelab.com/products/edinburgh
Onyx Coffee Lab,The Hive Blend,56.00,5lbs,2313,0.69,,,,,Natural,,"dark chocolate, thick winey berries",Boledu Coffee (Mebrahtu Aynalem),Ethiopia Elite,CoE Ethiopia Winner,Multiple CoE awards; Golden Bean Australia,750 smallholder producers; experimental + traditional,https://onyxcoffeelab.com/products/the-hive-house-blend
Onyx Coffee Lab,Notion,10.25,10oz,312,0.93,,,,,Natural,,"dark chocolate, thick winey berries",Rodriguez Family (Pedro; Daniela; Pedro Pablo),Bolivia Elite,ACE PCA,3x ACE Private Collection Auctions (2022; 2023; 2025); record Bolivian coffee price ($350/kg at Dubai auction),12 farms under Agricafe; Sol de la Mañana mentorship program; highest-altitude lowest-latitude coffees,https://onyxcoffeelab.com/products/notion
Onyx Coffee Lab,Ethiopia Bochesa Natural,8.00,2oz,85,2.67,Ethiopia,"Arbegona, Sidama",Bochesa,,Natural,"2,200 meters",,Daye Bensa (Dukamo Brothers),Ethiopia Elite,CoE Ethiopia Repeat,6x top-10 CoE Ethiopia 2020-22; 2nd place 2022,Founded 1996; 71 stations; also roast as Buncho/Dukamo Coffee,https://onyxcoffeelab.com/products/ethiopia-bochesa-natural
Onyx Coffee Lab,Panama Finca Deborah Nirvana Gesha,33.00,2oz,85,11.01,Panama,,"Jamison Savage, Finca Deborah",Geisha,Anaerobic Natural,,"strawberry, rose, florals",Jamison Savage,WBC Elite,WBC Producer,Grand slam 2024 WBC (top 3 all used his coffee); WBC 2016 winner Berg Wu; 10+ national Brewers Cup champions; 2025 US Brewers Cup winner,Pioneer carbonic maceration; 2022 harvest pre-sold; cafe in St. Pete FL,https://onyxcoffeelab.com/products/panama-finca-deborah-nirvana-gesha
Onyx Coffee Lab,Colombia Sebastian Ramirez Caturra IPA,11.00,2oz,85,3.67,Colombia,,Sebastian Ramirez,Caturra,two-hundred hour fermentation with the inoculation of a hop-infused mosto mixture,,"mango, lemongrass",Sebastián Ramírez,WBC Elite,WBC Producer,6th place WBC 2024 (Ian Kissick); 2nd UK championship (Haruka Nango); fourth-generation,Extreme consistency from standardized processing; mentors young producers,https://onyxcoffeelab.com/products/colombia-sebastian-ramirez-caturra-ipa
Onyx Coffee Lab,Everybody's Busy,9.50,10oz,312,0.86,,,,,,,,Tamiru Tadesse Tesema,Ethiopia CoE,CoE Ethiopia Winner,1st & 5th place CoE Ethiopia 2021 (anaerobic naturals),Smallholder pioneer anaerobic in Bensa,https://onyxcoffeelab.com/products/everybodys-busy
Onyx Coffee Lab,Trilogy,8.55,10oz,312,0.78,,,,,Natural,,"dark chocolate, thick winey berries",,,,,,https://onyxcoffeelab.com/products/trilogy-blend
Onyx Coffee Lab,Smiley Ludlow Blend - 5lbs Case - Wholesale,428.40,5lbs Case Pack (8),18144,0.67,,,,,,,,,,,,,https://onyxcoffeelab.com/products/smiley-ludlow-blend-copy
Onyx Coffee Lab,Smiley Ludlow Blend - 5lbs - Wholesale,85.00,5lbs,2313,1.04,,,,,,,,,,,,,https://onyxcoffeelab.com/products/smiley-ludlow-blend-ws
Onyx Coffee Lab,Smiley Ludlow Blend - 10oz Case - Wholesale,103.00,10oz Case Pack (6),1701,1.72,,,,,,,,,,,,,https://onyxcoffeelab.com/products/smiley-ludlow-blend-10oz-case-wholesale
Onyx Coffee Lab,Smiley 1972 Blend - 5lbs Case - Wholesale,680.00,5lbs Case Pack (8),18144,1.06,,,,,,,,,,,,,https://onyxcoffeelab.com/products/smiley-1972-blend-5lbs-case-wholesale
Onyx Coffee Lab,Smiley 1972 Blend - 5lbs - Wholesale,85.00,5lbs,2313,1.04,,,,,,,,,,,,,https://onyxcoffeelab.com/products/smiley-1972-blend-5lbs-wholesale
Onyx Coffee Lab,Smiley 1972 Blend - 10oz Case - Wholesale,103.00,10oz Case Pack (6),1701,1.72,,,,,,,,,,,,,https://onyxcoffeelab.com/products/smiley-1972-blend-10oz-case-wholesale
Onyx Coffee Lab,Ethiopia Hamasho Anaerobic Natural,8.00,2oz,85,2.67,Ethiopia,"Sidama, Bensa",Hamasho Station,,Anaerobic Natural,,fruit profile,Daye Bensa (Dukamo Brothers),Ethiopia Elite,CoE Ethiopia Repeat,6x top-10 CoE Ethiopia 2020-22; 2nd place 2022,Founded 1996; 71 stations; also roast as Buncho/Dukamo Coffee,https://onyxcoffeelab.com/products/ethiopia-hamasho-anaerobic-natural
Onyx Coffee Lab,Ethiopia Korma Kontoma G1,8.00,2oz,85,2.67,Ethiopia,"Murago Kebele, Kontoma area",Korma Kontoma,,,"2,100 to 2,300 meters above sea level",,Daye Bensa (Dukamo Brothers),Ethiopia Elite,CoE Ethiopia Repeat,6x top-10 CoE Ethiopia 2020-22; 2nd place 2022,Founded 1996; 71 stations; also roast as Buncho/Dukamo Coffee,https://onyxcoffeelab.com/products/ethiopia-korma-kontoma-g1
Onyx Coffee Lab,Ethiopia Bochesa Anaerobic Washed,8.00,2oz,85,2.67,Ethiopia,Arbegona,Bochesa,,Anaerobic Washed,"2,200 meters above sea level",,,,,,,https://onyxcoffeelab.com/products/ethiopia-bochesa-anaerobic-washed
Onyx Coffee Lab,Guatemala Finca Libano Gesha,11.00,2oz,85,3.67,Guatemala,Acatenango,Finca Libano,Geisha,,,"mineral-forward raw sugar, peach-like sweetness",,,,,,https://onyxcoffeelab.com/products/guatemala-finca-libano-gesha
Onyx Coffee Lab,Dark Chocolate Covered Espresso Beans,22.00,,283,2.20,Kenya,,,,,,"Dark Chocolate, Peanut, Sesame",,,,,,https://onyxcoffeelab.com/products/dark-chocolate-covered-espresso-beans
Onyx Coffee Lab,Colombia Aponte Village Honey,6.00,2oz,85,2.00,Colombia,Nariño,Inga producers of Aponte,,Red Honey,,"red fruit, caramelized sugars, fruit esters",,,,,,https://onyxcoffeelab.com/products/colombia-aponte-village-honey-25
Onyx Coffee Lab,El Salvador Santa Rosa,8.00,2oz,85,2.67,El Salvador,Chalatenango Mountains,Finca Santa Rosa,,Washed,,"Grape, rose",,,,,,https://onyxcoffeelab.com/products/el-salvador-santa-rosa-25
Onyx Coffee Lab,Ethiopia Hambela Alaka Natural,5.00,2oz,85,1.67,Ethiopia,Hambela Alaka,METAD,,Natural,,,,,,,,https://onyxcoffeelab.com/products/ethiopia-hambela-alaka-natural
Onyx Coffee Lab,Onyx Likes You,24.00,10oz,312,2.18,,Nariño,Inga producers of Aponte,,Red Honey,,"richly sweet, red fruit, caramelized sugars",,,,,,https://onyxcoffeelab.com/products/new
Onyx Coffee Lab,Ethiopia Gatta Honey,8.00,2oz,85,2.67,Ethiopia,Shantawene,Gatta Estate,,White Honey,,"apricot, sweet tea",Adam Overton & Rachel Samuel,Ethiopia Elite,Ethiopia Pioneer,Record price for African coffee ($254/lb at 6th auction); 471ha farm growing Geisha at origin; coffees used by barista competitors globally,Co-founded with Willem Boot; seeds from Gori Gesha forest; 8 terroir blocks; own annual auction,https://onyxcoffeelab.com/products/ethiopia-gatta-honey
Onyx Coffee Lab,Colombia Cafe Granja Sudan Rume,100.00,10oz,312,9.09,Colombia,,Café Granja,Sudan Rume,,,"botanical, sweetness",Herrera Family,WBC Elite,WBC Producer,2023 WBrC winner (Carlos Medina; natural Sidra); multiple national champions,Multi-generational; free worldwide shipping direct,https://onyxcoffeelab.com/products/colombia-cafe-granja-sudan-rume
Onyx Coffee Lab,Kenya Gichangi Estate AA,8.00,2oz,85,2.67,Kenya,Kirinyaga Country,Gichangi Estate,,,,"sweet apple, citric acidty, layered and juicy tactile",,,,,,https://onyxcoffeelab.com/products/kenya-gichangi-estate-aa
